"Grupa","Subgrupa","Genul","Domiciliul","Materia este interesanta","Ore dedicate invatarii","Examen Partial (4p)","Examen Final (6p)","Total (10p)"
"1","A","F","urban","dezacord total","sub 10","0.1","0.2","0.3"
"1","A","F","urban","dezacord total","sub 10","0.1","0.3","0.4"
"1","B","B","rural","dezacord total","sub 10","0.3","1","1.3"
"1","B","F","rural","dezacord","sub 10","1.4","0.5","1.9"
"1","A","B","rural","dezacord","sub 10","0.9","1.1","2"
"1","A","B","rural","dezacord","intre 10 si 20","1.1","1","2.1"
"1","A","B","rural","dezacord total","intre 10 si 20","1.1","1","2.1"
"1","B","F","rural","dezacord total","sub 10","0.6","1.5","2.1"
"1","A","B","rural","dezacord total","sub 10","1.4","1","2.4"
"1","B","F","rural","dezacord","sub 10","0.6","1.8","2.4"
"1","B","F","rural","dezacord total","intre 10 si 20","1.3","2","3.3"
"1","A","B","rural","dezacord","intre 10 si 20","1.3","2.1","3.4"
"1","A","B","rural","dezacord","intre 10 si 20","1.3","2.2","3.5"
"1","A","F","rural","dezacord","intre 10 si 20","0.7","3","3.7"
"1","A","B","urban","dezacord","intre 10 si 20","1.8","1.9","3.7"
"1","A","B","urban","dezacord","intre 10 si 20","1.9","1.8","3.7"
"1","A","B","rural","acord total","intre 10 si 20","1.6","2.6","4.2"
"1","B","B","rural","acord total","intre 10 si 20","1.1","3.1","4.2"
"1","A","B","urban","acord","intre 10 si 20","2.3","2","4.3"
"1","B","B","rural","acord","intre 10 si 20","1.1","3.2","4.3"
"1","A","F","rural","acord","sub 10","2.9","1.6","4.5"
"1","A","F","urban","dezacord","sub 10","0.7","4","4.7"
"1","B","B","urban","dezacord total","sub 10","1.8","2.9","4.7"
"1","B","F","rural","acord","peste 20","1.7","3","4.7"
"1","B","F","urban","dezacord total","intre 10 si 20","2.1","2.8","4.9"
"1","A","F","urban","acord total","sub 10","2.4","3","5.4"
"1","B","F","rural","acord","sub 10","2.6","2.8","5.4"
"1","B","B","rural","acord","peste 20","1.1","4.3","5.4"
"1","A","B","urban","dezacord total","peste 20","2.1","3.4","5.5"
"1","A","B","urban","acord","sub 10","2.4","3.1","5.5"
"1","A","F","urban","acord","intre 10 si 20","3","2.6","5.6"
"1","B","B","urban","dezacord","intre 10 si 20","1.9","3.7","5.6"
"1","B","F","rural","dezacord","intre 10 si 20","2.8","2.8","5.6"
